longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
-117.08,32.7,37,2176,418.0,1301,375,2.875,98900
-117.91,34.11,20,3158,684.0,2396,713,3.525,153000
-117.1,32.75,11,2393,726.0,1905,711,1.3448,91300
-117.22,32.74,52,1260,202.0,555,209,7.2758,345200
-121.99,37.29,32,2930,481.0,1336,481,6.4631,344100
-121.02,37.71,25,207,41.0,87,43,3.6023,131300
-121.85,37.25,20,3773,624.0,1965,607,5.4939,241200
-122.03,37.98,16,1209,477.0,627,482,1.3894,156300
-117.12,33.14,16,1710,272.0,1025,267,4.1641,163600
-120.77,37.64,8,3294,667.0,2277,652,2.6417,96800
-119.03,34.23,21,3284,487.0,1832,521,5.2773,250800
-118.27,33.94,43,1309,344.0,1182,340,1.6625,88700
-118.35,34.04,45,1839,459.0,1312,460,2.5625,138000
-119.88,34.4,25,2741,623.0,2272,624,2.2647,216700
-121.93,37.26,39,1103,175.0,446,163,2.8125,291300
-117.43,33.98,21,2634,421.0,1376,406,4.2589,152200
-117.97,33.8,35,2985,474.0,1614,453,5.4631,225600
-122.42,37.62,36,1538,256.0,671,247,4.4091,317900
-122.0,37.98,35,1192,201.0,535,172,4.9219,182000
-122.14,37.9,32,5738,746.0,2099,732,10.3224,500001
-117.93,34.06,37,1505,262.0,798,259,5.4635,202100
-122.74,38.44,17,2287,497.0,1240,493,3.5845,164300
-122.41,37.78,52,1534,763.0,1520,614,1.4554,375000
-118.15,34.12,49,1789,288.0,848,311,6.0199,500000
-121.3,38.73,9,5558,1099.0,2717,1043,3.6455,139200
-118.15,33.94,37,1594,321.0,1003,323,3.3289,199700
-122.48,37.73,38,3195,828.0,2410,778,3.1359,350000
-122.26,37.84,50,2239,455.0,990,419,1.9911,158700
-118.36,33.95,26,3231,1089.0,3193,1020,2.6535,177200
-118.09,34.11,45,1883,275.0,764,289,6.5078,414800
-121.34,38.62,20,4021,864.0,1658,730,2.4537,153000
-122.29,37.91,38,2591,424.0,905,378,5.1691,263200
-118.1,33.95,34,3635,781.0,2171,720,3.7308,196900
-121.1,35.6,20,3389,704.0,1309,520,3.2112,204500
-121.43,38.58,35,5298,954.0,1933,918,3.9167,155700
-118.17,34.08,33,851,231.0,936,228,3.375,147500
-122.29,37.81,20,835,161.0,290,133,2.483,137500
-117.58,33.6,5,5348,659.0,1862,555,11.0567,495400
-118.14,34.03,45,1569,359.0,1203,359,2.4612,180500
-117.96,33.65,21,2030,318.0,910,311,7.8453,343300
-121.95,37.29,30,3734,813.0,1834,824,3.4505,260000
-123.12,40.54,23,1091,217.0,539,201,1.8696,61500
-118.3,34.1,38,2067,914.0,2717,853,1.7641,250000
-117.07,32.76,42,1827,378.0,880,380,2.5125,176600
-122.03,37.35,25,3095,514.0,1251,507,5.5388,352100
-122.2,37.88,36,1065,160.0,398,155,7.7736,378100
-116.9,33.74,14,2281,426.0,894,430,2.3712,127900
-122.3,37.97,34,2854,528.0,1211,452,3.5353,164700
-119.85,36.82,9,3995,778.0,1691,712,3.3239,91300
-120.68,35.14,34,3100,617.0,1155,542,3.0938,245900
-119.3,36.31,16,2234,357.0,1150,361,4.2778,97300
-118.39,33.9,7,4314,725.0,1699,718,8.2037,500001
-121.65,36.69,21,7884,2011.0,4907,1919,2.7367,160300
-118.14,34.69,35,2118,374.0,1108,360,3.4327,100300
-119.21,36.3,23,951,235.0,806,222,1.7734,41400
-119.31,36.34,32,1893,453.0,1744,425,1.4729,54100
-118.34,33.93,32,1254,399.0,1281,386,2.2976,155700
-121.3,37.95,9,674,242.0,575,193,2.2024,45000
-117.28,34.17,26,3728,888.0,1765,727,1.7456,86800
-121.27,37.95,43,557,165.0,573,144,1.7212,59000
-117.93,33.75,15,2448,602.0,1666,575,3.5967,141600
-117.87,33.74,31,2338,652.0,3289,631,2.6734,158500
-121.97,37.93,4,3241,464.0,1552,494,6.6134,307000
-117.39,34.1,19,1000,211.0,572,230,2.4028,112500
-117.07,32.63,37,2372,444.0,1056,419,3.7583,145500
-118.34,34.17,49,3033,580.0,1284,561,4.1161,232500
-117.06,32.68,36,3815,796.0,2945,728,2.0959,125000
-122.22,40.18,13,3719,803.0,1754,764,2.3517,88900
-117.21,34.28,16,3326,569.0,527,192,5.7421,167600
-122.44,37.72,49,1557,405.0,1173,385,3.4605,265000
-118.46,34.18,27,2582,719.0,2038,718,3.0877,174200
-118.61,34.38,2,5989,883.0,1787,613,6.6916,329500
-122.29,40.43,21,2842,640.0,1658,608,1.9943,59800
-120.76,38.76,21,3509,606.0,1576,564,2.6392,148500
-118.41,34.02,24,2610,756.0,1322,692,3.5022,281300
-122.5,38.82,12,2394,443.0,877,341,2.5625,109200
-118.36,33.82,28,67,15.0,49,11,6.1359,330000
-119.05,35.3,9,10822,1994.0,6241,1906,4.0631,88200
-119.82,36.64,30,1694,312.0,1008,321,2.2466,96000
-121.87,37.39,9,2522,547.0,1591,481,4.9091,259700
-118.56,34.14,23,9657,1189.0,3585,1162,10.4399,500001
-118.33,33.91,8,10731,3335.0,7211,3028,2.455,192700
-122.39,37.76,52,157,28.0,88,27,3.675,162500
-122.21,38.11,35,2122,400.0,1189,408,3.0962,124600
-117.25,32.94,15,1804,339.0,673,296,5.9806,370500
-118.4,34.2,13,4859,1293.0,3351,1200,3.6875,211900
-121.9,36.6,45,2249,412.0,944,429,3.0625,260300
-118.19,34.04,34,1011,274.0,1164,262,2.8542,146900
-120.43,34.69,33,2054,373.0,1067,358,3.6023,128300
-118.86,34.16,16,1509,216.0,578,235,10.2614,410800
-118.24,33.8,28,636,169.0,788,143,3.6161,131300
-119.17,34.19,28,1444,508.0,2145,437,1.6964,175000
-117.09,32.98,23,1125,273.0,687,308,2.3182,268800
-118.42,33.96,44,1282,216.0,494,209,5.618,365900
-122.01,37.37,25,2213,360.0,1066,390,7.2165,360900
-117.1,33.0,5,15502,2613.0,7417,2358,5.9094,261100
-117.66,35.62,11,5897,1138.0,2728,1072,4.15,85700
-120.08,36.96,36,2074,349.0,954,363,3.1136,73800
-118.0,33.71,19,4808,1029.0,2422,971,4.0121,279700
-122.04,37.35,28,3250,485.0,1328,473,7.4729,431600
-122.82,38.61,41,2720,501.0,987,364,4.0294,201700
-118.36,33.95,42,1139,302.0,1283,306,4.1635,163900
-118.38,34.06,28,2522,616.0,991,574,3.1475,362500
-121.83,37.23,22,5507,841.0,2785,848,6.0889,245200
-117.88,33.7,24,534,88.0,249,74,5.3254,240500
-117.25,34.11,30,2173,560.0,1509,486,1.4079,67700
-122.41,38.07,20,4536,708.0,1812,701,6.0433,435900
-122.03,37.27,25,4460,553.0,1608,561,10.7958,500001
-122.85,38.62,16,4418,704.0,1908,697,4.5913,244600
-121.11,35.52,9,6044,1222.0,2239,972,3.24,264600
-121.06,39.04,15,1999,287.0,585,246,5.5161,361900
-118.55,34.41,8,21086,3945.0,9936,3790,5.8602,265100
-121.1,39.0,16,1106,195.0,505,187,5.0126,192300
-122.3,37.87,52,3123,749.0,1695,684,2.2208,144800
-117.22,33.2,31,1736,277.0,801,292,4.4844,205500
-118.11,33.73,32,1258,333.0,645,334,5.0476,500001
-117.55,33.88,19,2472,618.0,2143,610,2.2372,108800
-118.23,33.99,37,378,176.0,714,156,2.1912,112500
-118.3,33.74,28,1065,215.0,887,217,3.9375,270500
-118.29,34.18,36,3120,620.0,1441,612,3.9041,320400
-120.7,38.69,13,4492,821.0,2093,734,4.0709,151700
-118.04,33.92,34,1995,417.0,1573,407,3.4907,153500
-118.5,34.21,35,1668,332.0,807,311,4.5125,200300
-118.34,34.09,37,1442,501.0,998,503,2.4432,200000
-122.05,37.38,24,2424,501.0,1367,507,4.072,364200
-118.03,33.82,17,1851,346.0,770,310,5.6093,244400
-118.34,34.04,40,2064,662.0,2140,617,2.2254,127100
-118.21,33.88,38,929,166.0,686,183,3.4485,119400
-117.01,32.7,25,2321,398.0,1434,386,3.5341,120800
-117.01,34.89,26,2599,498.0,1332,443,2.7198,70400
-116.54,33.81,24,6087,1217.0,1721,833,3.1493,199400
-122.21,37.47,43,733,162.0,497,175,3.2708,255300
-122.4,37.72,37,971,248.0,647,208,2.1187,239300
-118.37,34.18,33,1829,512.0,1345,500,3.1629,198900
-118.09,33.91,34,1582,343.0,1356,324,3.4211,141100
-121.25,38.72,15,6838,941.0,3166,926,5.2177,162700
-118.04,33.72,24,7141,1330.0,3418,1268,4.6649,237800
-117.28,34.14,40,2190,496.0,1214,493,2.3947,81900
-122.1,37.39,31,1117,304.0,591,302,3.5909,353100
-121.98,37.37,35,995,202.0,615,199,5.0942,217500
-121.93,36.63,33,1740,342.0,638,329,3.1912,319800
-122.44,37.78,37,1235,314.0,481,297,3.6875,492300
-117.46,33.94,26,2481,620.0,2411,552,1.7059,85800
-117.97,34.17,35,5005,848.0,2112,813,4.9968,295000
-119.62,36.35,10,3674,734.0,1864,718,2.6145,80300
-116.37,33.72,19,6190,1355.0,2242,1043,3.0021,152300
-118.27,34.0,46,1748,428.0,1707,409,2.148,103800
-120.0,38.87,12,1437,268.0,395,144,4.225,127600
-118.33,34.27,29,3034,732.0,1776,702,3.1349,230200
-118.0,33.84,30,1549,325.0,885,299,4.0039,195100
-118.5,34.2,18,4249,933.0,2047,909,4.1304,229100
-118.33,34.01,44,2182,492.0,878,493,1.9631,181300
-118.0,33.94,37,903,158.0,444,158,3.75,174400
-121.19,38.95,16,2544,431.0,1199,412,4.5129,196300
-122.5,37.77,52,2739,569.0,1312,531,3.5833,322900
-121.09,39.48,25,1665,374.0,845,330,1.5603,78100
-117.36,33.92,7,9376,1181.0,3570,1107,8.5326,315200
-122.46,37.65,16,8676,1633.0,5130,1574,4.8096,262000
-121.9,37.29,36,1389,225.0,623,223,6.6331,283300
-117.24,33.95,11,6617,1118.0,3710,1087,4.7877,132600
-119.32,36.3,15,2864,571.0,1480,475,2.9698,93400
-117.77,33.67,12,4329,1068.0,1913,978,4.5094,160200
-119.4,36.55,19,3000,628.0,2202,590,2.5141,67400
-122.54,38.36,40,2725,531.0,1167,458,3.7969,202800
-121.3,38.25,27,2475,548.0,1703,517,2.5727,86100
-117.73,34.03,42,1967,378.0,1459,348,3.0375,118100
-117.67,33.66,4,10175,2181.0,4762,1929,4.7341,237400
-117.29,34.11,35,2426,715.0,1920,586,1.5561,68000
-119.78,36.75,43,2070,512.0,1925,444,1.4635,46600
-121.46,38.65,8,3746,767.0,2161,744,3.2039,103400
-120.36,36.14,18,1206,274.0,622,217,1.8264,62000
-117.97,33.84,34,874,153.0,549,153,4.8667,186800
-117.68,34.12,16,2181,321.0,1133,350,5.7214,259400
-122.17,37.76,41,1594,367.0,1074,355,1.9356,90600
-121.87,39.82,11,5103,825.0,2456,810,4.5032,159700
-122.25,37.49,40,2709,521.0,1156,510,4.6366,395500
-118.31,33.88,35,1939,412.0,1036,400,3.5556,238000
-117.16,32.8,25,1399,329.0,1308,355,2.5682,187500
-118.08,34.0,32,1165,358.0,997,361,0.9817,166300
-117.91,33.74,15,715,214.0,1394,244,3.3846,162500
-118.11,34.0,38,2573,484.0,1568,459,3.0208,193700
-121.31,38.58,10,2421,580.0,962,497,2.5035,112500
-120.45,34.95,32,1574,447.0,1772,463,1.8625,90200
-116.97,32.56,23,1262,294.0,5176,275,2.5625,153300
-122.43,37.79,52,3565,892.0,1377,852,3.8068,500001
-118.39,33.79,30,4402,563.0,1582,551,10.898,500001
-117.83,33.9,23,2446,360.0,1196,359,6.5755,272800
-118.58,34.12,42,718,140.0,324,131,6.4018,500001
-118.08,34.12,34,2921,641.0,1541,562,3.6827,264100
-122.34,37.95,45,1128,240.0,702,270,3.6719,134100
-118.35,33.94,42,1028,278.0,1369,261,3.3125,144600
-117.31,34.13,38,1287,284.0,1047,269,2.2865,65500
-117.7,33.55,12,2459,390.0,1054,391,7.1736,262100
-122.27,37.55,15,1958,282.0,811,284,8.1221,483300
-119.73,36.31,20,2440,433.0,1579,400,2.8281,60200
-118.29,34.06,46,1759,1012.0,2716,877,2.1637,350000
-116.22,36.0,14,1372,386.0,436,213,1.1471,32900
-122.01,37.39,16,3015,829.0,1769,807,4.0068,249500
-118.26,34.02,40,1259,362.0,1499,327,1.8382,126400
-122.45,41.28,15,2740,503.0,1188,445,3.4519,128800
-117.27,34.16,32,2894,427.0,1151,446,6.2236,159700
-118.17,33.78,29,2920,962.0,3580,772,1.7393,140200
-121.53,38.57,34,3395,592.0,1518,627,4.0833,118500
-121.96,37.51,22,5811,1125.0,3215,1086,4.4107,223500
-118.23,33.9,31,2143,522.0,2276,519,1.8095,100800
-118.46,34.0,52,888,206.0,376,194,3.875,372000
-118.34,33.93,33,4294,1224.0,4512,1189,2.8304,143700
-122.13,37.46,35,1321,300.0,1133,287,3.7312,159600
-123.22,40.54,27,1573,361.0,847,330,1.9034,49600
-122.02,37.26,24,2411,299.0,847,299,10.2666,500001
-117.91,33.65,24,1494,494.0,814,459,2.1074,181300
-117.87,33.85,33,45,11.0,34,10,5.2949,350000
-118.3,33.85,38,123,36.0,142,40,2.3942,200000
-118.31,33.9,30,2407,581.0,1724,531,3.4792,194700
-122.26,37.85,52,2491,474.0,1098,468,3.075,213500
-117.58,34.02,4,5998,1092.0,3182,1042,5.2692,174800
-118.16,33.86,26,6607,1663.0,4066,1558,2.5068,156300
-117.06,32.57,17,2252,378.0,1776,365,4.6364,141100
-118.73,34.27,23,4550,762.0,2301,744,4.556,205300
-117.13,32.7,35,1179,344.0,1372,330,1.9509,70200
-122.41,37.75,52,2452,623.0,1932,549,2.3903,236100
-121.78,37.67,28,1773,278.0,804,269,4.8571,201100
-122.42,37.79,52,3511,1232.0,2452,1131,2.5013,275000
-118.43,34.01,41,1527,279.0,746,285,6.4232,446600
-117.18,32.68,29,1539,344.0,556,289,3.25,500001
-121.19,38.67,16,1754,284.0,773,277,4.817,147000
-120.5,37.32,13,1936,384.0,1158,367,2.75,83200
-121.24,37.95,36,361,63.0,169,62,3.7734,63800
-122.42,37.76,52,2088,487.0,1082,488,2.6803,490000
-122.85,38.77,18,2856,513.0,1027,405,4.6953,241700
-120.0,38.93,17,8005,1382.0,999,383,3.9722,313400
-115.53,34.91,12,807,199.0,246,102,2.5391,40000
-117.98,33.75,27,2343,415.0,1537,426,5.1345,210600
-118.39,33.88,33,2496,387.0,1098,404,7.6685,474300
-117.1,33.14,7,10665,2576.0,4917,2424,2.3171,159500
-121.89,37.3,46,2639,448.0,938,424,5.0662,331600
-117.14,32.92,6,3069,750.0,1541,736,3.814,132500
-117.88,34.09,29,3416,790.0,2223,728,3.5109,186000
-118.33,33.96,24,6513,1290.0,2636,1271,4.2099,189800
-122.04,37.96,16,2913,723.0,1705,693,2.9097,106300
-117.36,33.18,39,1546,291.0,833,308,2.8893,185400
-121.42,37.75,33,1329,266.0,683,233,4.3687,128700
-116.98,32.71,18,2355,444.0,1277,433,3.4551,121400
-124.25,40.28,32,1430,419.0,434,187,1.9417,76100
-118.31,34.06,30,3110,1269.0,2535,1218,1.6987,412500
-121.01,38.73,7,6322,1046.0,2957,1024,4.7276,197500
-117.12,33.14,12,2363,408.0,1211,396,3.8967,172600
-118.39,34.04,41,101,23.0,85,30,4.125,237500
-117.64,33.88,13,8010,1366.0,3920,1309,5.536,204800
-121.31,38.66,27,1713,282.0,761,295,5.2081,136400
-122.0,37.34,31,3344,620.0,1604,572,5.2108,351500
-122.67,38.43,17,2007,400.0,895,403,3.2813,202700
-117.69,34.07,34,4055,739.0,2470,753,3.8586,136000
